6-digit,Proposed mapping
252214,HLTH_Health Workers
252299,HLTH_Health Workers
252311,HLTH_Health Workers
252312,HLTH_Health Workers
252411,HLTH_Health Workers
252511,HLTH_Health Workers
252611,HLTH_Health Workers
252711,HLTH_Health Workers
252712,HLTH_Health Workers
253111,HLTH_Health Workers
253112,HLTH_Health Workers
253211,HLTH_Health Workers
253311,HLTH_Health Workers
253312,HLTH_Health Workers
253313,HLTH_Health Workers
253314,HLTH_Health Workers
253315,HLTH_Health Workers
253316,HLTH_Health Workers
253317,HLTH_Health Workers
253318,HLTH_Health Workers
253321,HLTH_Health Workers
253322,HLTH_Health Workers
253323,HLTH_Health Workers
253324,HLTH_Health Workers
253399,HLTH_Health Workers
253411,HLTH_Health Workers
253511,HLTH_Health Workers
253512,HLTH_Health Workers
253513,HLTH_Health Workers
253514,HLTH_Health Workers
253515,HLTH_Health Workers
253516,HLTH_Health Workers
253517,HLTH_Health Workers
253518,HLTH_Health Workers
253521,HLTH_Health Workers
253911,HLTH_Health Workers
253912,HLTH_Health Workers
253913,HLTH_Health Workers
253914,HLTH_Health Workers
253915,HLTH_Health Workers
253917,HLTH_Health Workers
253918,HLTH_Health Workers
253999,HLTH_Health Workers
254111,HLTH_Health Workers
254211,HLTH_Health Workers
254212,HLTH_Health Workers
254311,HLTH_Health Workers
254411,HLTH_Health Workers
254412,HLTH_Health Workers
254413,HLTH_Health Workers
254414,HLTH_Health Workers
254415,HLTH_Health Workers
254416,HLTH_Health Workers
254417,HLTH_Health Workers
254418,HLTH_Health Workers
254421,HLTH_Health Workers
254422,HLTH_Health Workers
254423,HLTH_Health Workers
254424,HLTH_Health Workers
254425,HLTH_Health Workers
254499,HLTH_Health Workers
261111,OFFW_Office Worker
261112,OFFW_Office Worker
261113,OFFW_Office Worker
261211,OFFW_Office Worker
261212,OFFW_Office Worker
261311,OFFW_Office Worker
261312,OFFW_Office Worker
261313,OFFW_Office Worker
261314,OFFW_Office Worker
261315,OFFW_Office Worker
261316,OFFW_Office Worker
261317,OFFW_Office Worker
261399,OFFW_Office Worker
262111,OFFW_Office Worker
262113,OFFW_Office Worker
262114,OFFW_Office Worker
262115,OFFW_Office Worker
262116,OFFW_Office Worker
262117,OFFW_Office Worker
262118,OFFW_Office Worker
263111,OFFW_Office Worker
263112,OFFW_Office Worker
263113,OFFW_Office Worker
263211,OFFW_Office Worker
263212,OFFW_Office Worker
263213,OFFW_Office Worker
263299,OFFW_Office Worker
263311,OFFW_Office Worker
263312,OFFW_Office Worker
271111,OFFW_Office Worker
271211,OFFW_Office Worker
271212,OFFW_Office Worker
271213,OFFW_Office Worker
271214,OFFW_Office Worker
271299,OFFW_Office Worker
271311,OFFW_Office Worker
272111,OFFW_Office Worker
272112,OFFW_Office Worker
272113,OFFW_Office Worker
272114,OFFW_Office Worker
272115,OFFW_Office Worker
272199,OFFW_Office Worker
272211,OFFW_Office Worker
272311,OFFW_Office Worker
272312,OFFW_Office Worker
272313,OFFW_Office Worker
272314,OFFW_Office Worker
272399,OFFW_Office Worker
272411,OFFW_Office Worker
272412,OFFW_Office Worker
272413,OFFW_Office Worker
272414,OFFW_Office Worker
272499,OFFW_Office Worker
272511,OFFW_Office Worker
272611,OFFW_Office Worker
272612,OFFW_Office Worker
272613,OFFW_Office Worker
311112,FARM_Farmer
311113,ANIM_Animal worker
311114,FARM_Farmer
311115,FARM_Farmer
311211,HLTH_Health Workers
311212,HLTH_Health Workers
311213,HLTH_Health Workers
311214,HLTH_Health Workers
311215,HLTH_Health Workers
311216,HLTH_Health Workers
311217,HLTH_Health Workers
311299,HLTH_Health Workers
311311,SHIP_Shipping/Fishing
311312,FOOD_Food Workers
311411,LABC_Lab worker Chemist
311412,LABC_Lab worker Chemist
311413,LABC_Lab worker Chemist
311414,LABC_Lab worker Chemist
311415,LABC_Lab worker Chemist
311499,LABC_Lab worker Chemist
312111,OFFW_Office Worker
312112,CONS_Construction Trades
312113,CONS_Construction Trades
312114,OFFW_Office Worker
312115,CONS_Construction Trades
312116,OFFW_Office Worker
312199,OFFW_Office Worker
312211,OFFW_Office Worker
312311,OFFW_Office Worker
312411,OFFW_Office Worker
312412,OFFW_Office Worker
312511,OFFW_Office Worker
312512,"IMAR_Industrial Manufacturing, Assembly and Repair"
312611,"IMAR_Industrial Manufacturing, Assembly and Repair"
312911,OFFW_Office Worker
312912,PRMM_Metal Refining/Smelting
312913,MINE_Miners/Quarrymen
312914,OFFW_Office Worker
312999,"FAMM_Fitter, Machinist or Maintenance Mechanic"
313111,OFFW_Office Worker
313112,OFFW_Office Worker
313113,OFFW_Office Worker
313199,OFFW_Office Worker
313211,OFFW_Office Worker
313212,OFFW_Office Worker
313213,OFFW_Office Worker
313214,OFFW_Office Worker
321111,MECH_Mechanic/Panel Beater
321211,MECH_Mechanic/Panel Beater
321212,MECH_Mechanic/Panel Beater
321213,MECH_Mechanic/Panel Beater
321214,MECH_Mechanic/Panel Beater
322111,FOUN_Foundry
322112,MFAC_Metal Finishing & Coating
322113,ANIM_Animal worker
322114,FOUN_Foundry
322115,MFAC_Metal Finishing & Coating
322211,FOUN_Foundry
322311,WELD_Welder
322312,WELD_Welder
322313,WELD_Welder
323111,AIRT_Air Transport Workers
323112,AIRT_Air Transport Workers
323113,AIRT_Air Transport Workers
323211,"FAMM_Fitter, Machinist or Maintenance Mechanic"
323212,"FAMM_Fitter, Machinist or Maintenance Mechanic"
323213,"FAMM_Fitter, Machinist or Maintenance Mechanic"
323214,"FAMM_Fitter, Machinist or Maintenance Mechanic"
323215,"FAMM_Fitter, Machinist or Maintenance Mechanic"
323299,"FAMM_Fitter, Machinist or Maintenance Mechanic"
323311,"IMAR_Industrial Manufacturing, Assembly and Repair"
323312,"IMAR_Industrial Manufacturing, Assembly and Repair"
323313,"IMAR_Industrial Manufacturing, Assembly and Repair"
323314,"IMAR_Industrial Manufacturing, Assembly and Repair"
323315,"IMAR_Industrial Manufacturing, Assembly and Repair"
323316,"IMAR_Industrial Manufacturing, Assembly and Repair"
323411,"IMAR_Industrial Manufacturing, Assembly and Repair"
323412,FOUN_Foundry
324111,MECH_Mechanic/Panel Beater
324211,MECH_Mechanic/Panel Beater
324212,UPHO_Upholstery
324311,MFAC_Metal Finishing & Coating
331111,CONS_Construction Trades
331112,CONS_Construction Trades
331211,CONS_Construction Trades
331212,CONS_Construction Trades
331213,CONS_Construction Trades
332111,CONS_Construction Trades
332211,CONS_Construction Trades
333111,CONS_Construction Trades
333211,CONS_Construction Trades
333212,CONS_Construction Trades
333311,CONS_Construction Trades
333411,CONS_Construction Trades
334112,CONS_Construction Trades
334113,CONS_Construction Trades
334114,CONS_Construction Trades
334115,CONS_Construction Trades
334116,CONS_Construction Trades
334117,CONS_Construction Trades
341111,CONS_Construction Trades
341112,CONS_Construction Trades
341113,"FAMM_Fitter, Machinist or Maintenance Mechanic"
342111,"FAMM_Fitter, Machinist or Maintenance Mechanic"
342211,LINE_Power Station/Power Line Worker
342212,LINE_Power Station/Power Line Worker
342311,"FAMM_Fitter, Machinist or Maintenance Mechanic"
342312,"FAMM_Fitter, Machinist or Maintenance Mechanic"
342411,OFFW_Office Worker
342412,OFFW_Office Worker
342413,OFFW_Office Worker
342414,OFFW_Office Worker
351111,FOOD_Food Workers
351112,FOOD_Food Workers
351211,FOOD_Food Workers
351311,FOOD_Food Workers
351411,FOOD_Food Workers
361111,ANIM_Animal Worker
361112,ANIM_Animal Worker
361113,ANIM_Animal Worker
361114,ANIM_Animal Worker
361115,ANIM_Animal Worker
361116,ANIM_Animal Worker
361199,ANIM_Animal Worker
361311,HLTH_Health Workers
362111,FLOR_Florist
362312,GARD_Gardener Groundskeeper
362313,GARD_Gardener Groundskeeper
362411,GARD_Gardener Groundskeeper
362511,GARD_Gardener Groundskeeper
362512,GARD_Gardener Groundskeeper
362611,GARD_Gardener Groundskeeper
362711,GARD_Gardener Groundskeeper
362712,GARD_Gardener Groundskeeper
363111,FARM_Farmer
363112,FARM_Farmer
363113,FARM_Farmer
363114,FARM_Farmer
363115,FARM_Farmer
363116,FARM_Farmer
363117,FARM_Farmer
363199,FARM_Farmer
363211,FARM_Farmer
363212,FARM_Farmer
363213,FARM_Farmer
363214,FARM_Farmer
363215,FARM_Farmer
363299,FARM_Farmer
363311,ANIM_Animal worker
363312,ANIM_Animal worker
391111,HAIR_Hairdresser/Beauty Therapist
392111,PRIN_Printing
392112,PRIN_Printing
392211,PRIN_Printing
392311,PRIN_Printing
392312,PRIN_Printing
393111,TEXT_Textiles
393112,SHOE_Shoes and leather goods
